R, P, T, Rho, Kappa, Epsilon, Qm, L_r, dlPlT
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
282636610482.57245, 9965151.841174932, 105049.52684305662, 6.87907745037308e-07, 15.167731067278059, 2.9427206178443735e-31, 5.432098348290282e-05, 3.826e+35, 2.4308686219943394
282922679926.38074, 6999320.8184115235, 90840.09067956494, 5.623746743717774e-07, 21.32211061416933, 7.608934881750573e-33, 5.43119557527838e-05, 3.826e+35, -2.0324266481167292
283208749370.189, 2895376.2287930986, 140247.42395437672, 1.0241590444325086e-07, 1.5123276833353174, 2.572283961263944e-29, 5.430381981097465e-05, 3.826e+35, 2.5000000000000004
283494818813.9973, 2219295.486231345, 126095.31272827659, 9.385662807882441e-08, 1.9262583359528727, 2.4250837479253784e-30, 5.4302335149913894e-05, 3.826e+35, 0.3884019520844326
283780888257.8056, 1724528.8053173246, 65865.72594362628, 1.9051356682424675e-07, 27.49296455032099, 6.543487104842295e-37, 5.430097181746696e-05, 3.826e+35, -0.962132636875357
284066957701.6139, 1178053.3956218215, 97876.60151560421, 7.236449426957053e-08, 3.4659385502905686, 5.8777339296364946e-33, 5.429819888846943e-05, 3.826e+35, 2.5000000000000013
284353027145.4222, 799291.4411493863, 83809.82931064212, 6.024993399153257e-08, 4.986151865966277, 1.1122402307686144e-34, 5.4297143497250566e-05, 3.826e+35, 1.8381979700534608
284639096589.23047, 215149.76864916904, 41041.95998671608, 3.7919166316234494e-08, 39.35844444332307, 1.1318661348325967e-43, 5.429626301856061e-05, 3.826e+35, 0.9583110983151059
284925166033.03876, 288598.87313477887, 55761.024380439216, 3.545408873242617e-08, 12.988296514155765, 1.1518869545576101e-39, 5.4295707760942946e-05, 3.826e+35, 3.2332119943439013
285211235476.84705, 20409.947829356784, 24575.777459332192, 5.933900077498251e-09, 53.526942175487676, 3.003973016983988e-52, 5.429518755595275e-05, 3.826e+35, 1.0220698763985034
285497304920.65533, 13471.604721282409, 16367.434956009758, 6.0757551882140046e-09, 225.1741857509495, 1.9765534651154548e-59, 5.4295100315071565e-05, 3.826e+35, 4.25
