R, P, T, Rho, Kappa, Epsilon, Qm, L_r, dlPlT
0.0019951646956618573, 2.5621867077960323e+19, 96264225.27027419, 1974.6733949462418, 0.37710767338775486, 17675769318096.36, 0.9724163511590392, -1.5207427435289458e+41, 2.477748646979284
0.002992747043490793, 1.1604831887187601e+19, 69926298.49421522, 1235.2981634702892, 0.4154441463920068, 339749208383.26733, 0.9723963346483631, -6.149408045685243e+39, 2.4874895585291887
0.003990329391319729, 6.905880119281357e+18, 56756960.12754251, 906.9574080414583, 0.4597341178190695, 20428857027.035103, 0.9723693007315265, -6.645214822219644e+38, 2.4910751467969674
0.004987911739148664, 4.751924704686419e+18, 48847986.977638446, 725.6789006000719, 0.5068835521583811, 2398031450.5370784, 0.9723348319991483, -1.283681398583947e+38, 2.492886459416306
0.0059854940869776, 3.5730010004801485e+18, 43568314.344711006, 612.0577202820655, 0.5549475422268582, 436405830.077881, 0.9722924065969618, -3.62264115587597e+37, 2.4939794356619496
0.006983076434806535, 2.84971552642087e+18, 39790853.22880912, 534.6746648111997, 0.602727936903801, 108038988.26896313, 0.9722414612442718, -1.331673223015045e+37, 2.4947134302583898
0.00798065878263547, 2.3692551508230313e+18, 36952124.240522355, 478.79054966872343, 0.6495043634496989, 33542682.857465576, 0.9721814134849671, -5.937367459545284e+36, 2.4952418565792005
0.008978241130464406, 2.0308922198916636e+18, 34739085.30197544, 436.6347312449385, 0.6948614693570623, 12373842.509209143, 0.9721116715997399, -3.062151158170596e+36, 2.495641186365912
0.00997582347829334, 1.781709237376111e+18, 32963904.276006296, 403.74547365092786, 0.7385786743143263, 5223951.017274463, 0.9720316397546865, -1.7672842199653277e+36, 2.495953945916204
0.010973405826122277, 1.5916179538456653e+18, 31507044.929288384, 377.3882902392113, 0.7805595460641566, 2456531.034551083, 0.9719407209835982, -1.1142391610548386e+36, 2.4962057516152982
0.011970988173951211, 1.4424148984549824e+18, 30288811.261302955, 355.79868340895064, 0.820786258874167, 1261076.7530471361, 0.9718383190655633, -7.537383847424415e+35, 2.4964129937636037
0.012968570521780147, 1.3225218656678031e+18, 29254025.324157476, 337.7895315232367, 0.8592900339663179, 696010.0206367499, 0.9717238397900126, -5.395764097132673e+35, 2.4965866642667733
0.013966152869609083, 1.2242649753568374e+18, 28363271.561787557, 322.53410934973124, 0.8961318564420757, 408123.28613397566, 0.9715966918596507, -4.044187782689235e+35, 2.496734417397639
0.014963735217438018, 1.1423796142600456e+18, 27587643.270481113, 309.4397196128637, 0.9313898630719148, 251885.29844795328, 0.971456287568161, -3.147079659709885e+35, 2.496861750181886
